date,equity,cash,positions
20241129,27718392.52,12390255.42,4
20241202,27707254.61,12391484.61,4
20241203,27811010.51,12392713.92,4
20241204,27936853.11,12393943.36,4
20241205,27804413.35,12395172.92,4
20241206,27922315.17,12396402.60,4
20241209,27994521.45,12397632.40,4
20241210,28085011.28,12398862.32,4
20241211,28051413.97,12400092.37,4
20241212,28213668.00,12401322.54,4
20241213,27976826.28,12402552.83,4
20241216,28077913.41,12403783.24,4
20241217,28101189.80,12405013.77,4
20241218,28223514.15,12406244.43,4
20241219,28353802.22,12407475.21,4
20241220,28181224.74,12408706.11,4
20241223,28487885.67,12409937.13,4
20241224,28702436.19,12411168.28,4
20241225,28818041.32,12412399.54,4
20241226,28934879.67,12413630.93,4
20241227,28787797.75,12414862.44,4
20241230,28886891.04,12416094.08,4
20241231,28554286.97,12417325.83,4
20250102,28298726.14,12418557.71,4
20250103,28248832.10,12419789.71,4
20250106,28236815.45,12421021.83,4
20250107,28573086.13,12422254.07,4
20250108,28676984.39,12423486.44,4
20250109,28571834.44,12424718.93,4
20250110,28495019.39,12425951.54,4
20250113,28430643.96,12427184.27,4
20250114,28624900.48,12428417.13,4
20250115,28565044.09,12429650.11,4
20250116,28737850.43,12430883.21,4
20250117,28770354.55,12432116.43,4
20250120,28736754.43,12433349.77,4
20250121,28774861.91,12434583.24,4
20250122,28741070.88,12435816.83,4
20250123,29103311.12,12437050.54,4
20250124,29497975.13,12438284.38,4
20250127,30125838.79,12439518.33,4
20250205,29610035.94,12440752.41,4
20250206,29727390.80,12441986.62,4
20250207,29838835.63,12443220.94,4
20250210,29864384.69,12444455.39,4
20250211,30090316.01,12445689.96,4
20250212,30098042.00,12446924.65,4
20250213,30009137.84,12448159.46,4
20250214,30106433.64,12449394.40,4
20250217,29795436.69,12450629.46,4
20250218,29822593.10,12451864.64,4
20250219,29791898.73,12453099.94,4
20250220,29808135.28,12454335.37,4
20250221,29773219.02,12455570.92,4
20250224,30066209.84,12456806.59,4
20250225,29952193.79,12458042.38,4
20250226,29944406.42,12459278.30,4
20250227,29768361.30,12460514.34,4
20250228,29165626.89,12461750.50,4
20250303,29134988.05,12462986.79,4
20250304,29299402.46,12464223.19,4
20250305,29480934.43,12465459.72,4
20250311,29441789.14,12466696.38,4
20250312,29528721.45,12467933.15,4
20250327,29809980.11,12469170.05,4
20250328,29896877.77,12470407.07,4
20250331,29891642.74,12471644.21,4
20250401,29788699.76,12472881.48,4
20250402,29712655.78,12474118.87,4
20250403,29653795.90,12475356.38,4
20250407,28642833.30,12476594.02,4
20250408,28875587.21,12951534.68,4
20250409,29109467.07,12952819.55,4
20250410,29261207.43,12954104.55,4
20250411,29969864.83,12955389.68,4
20250414,30108818.10,12956674.94,4
20250415,30251409.32,12957960.33,4
20250416,30491831.07,12959245.84,4
20250417,30648727.19,12960531.48,4
20250418,30593514.51,12961817.24,4
20250421,30670850.46,12963103.14,4
20250422,30714460.69,12964389.16,4
20250423,30368383.93,12965675.31,4
20250424,30437550.20,12966961.59,4
20250425,30159935.08,12968247.99,4
20250428,30336546.84,12969534.53,4
20250429,30257145.01,12970821.19,4
20250430,29912324.81,12972107.97,4
20250506,29957605.74,12973394.89,4
20250507,30140371.52,12974681.93,4
20250508,30027627.03,12975969.10,4
20250509,30008355.93,12977256.40,4
20250512,30040621.75,12978543.83,4
20250513,30112621.33,12979831.38,4
20250514,30200060.05,12981119.06,4
20250515,30035062.82,12982406.87,4
20250516,29906139.75,12983694.81,4
20250519,29968372.69,12984982.87,4
20250520,30058276.38,12986271.07,4
20250521,30411692.53,12987559.39,4
20250522,30395206.71,12988847.84,4
20250523,30259582.96,12990136.41,4
20250526,30248206.89,12991425.12,4
20250527,29923739.19,12992713.95,4
20250528,29963057.64,12994002.91,4
20250529,29990975.98,12995292.00,4
20250530,29919341.48,12996581.21,4
20250603,30154976.78,12997870.55,4
20250604,30126350.92,12999160.03,4
20250605,30079800.16,13000449.62,4
20250606,30199995.19,13001739.35,4
20250609,30095026.02,13003029.21,4
20250610,30127837.65,13004319.19,4
20250611,30294223.50,13005609.30,4
20250612,30518579.39,13006899.54,4
20250613,30526404.73,13008189.91,4
20250616,30417236.82,13009480.40,4
20250617,30470529.13,13010771.03,4
20250618,30521440.87,13012061.78,4
20250619,30423755.43,13013352.66,4
20250620,30434349.37,13014643.66,4
20250623,30618950.16,13015934.80,4
20250624,30801048.23,13017226.06,4
20250625,31099754.41,13018517.45,4
20250626,31133706.52,13019808.97,4
20250627,31117553.69,13021100.62,4
20250630,31090690.25,13022392.40,4
20250701,31321685.71,13023684.30,4
20250702,31342737.79,13024976.33,4
20250703,31320471.97,13026268.49,4
20250704,31282155.63,13027560.78,4
20250707,31218705.30,13028853.20,4
20250708,31213942.86,13030145.74,4
20250709,30974072.18,13031438.42,4
20250710,31110845.39,13032731.22,4
20250711,31214026.64,13034024.15,4
