序号,代码,名称,买入日,卖出日,买价,卖价,收益率%,盈亏金额,持仓天数,牛熊,池模式,峰值价,退出类型,触发详情
114,513050,中概互联ETF,2025-03-25,2025-03-27,1.4728,1.4912,1.25,152035.0,2,牛,all,1.492,趋势全空,MA6<MA15 且 MA8斜率=-0.0011<0
115,159992,创新药ETF,2025-04-07,2025-04-14,0.6864,0.7206,4.99,615410.0,7,熊,all,0.721,趋势全空,MA6<MA15 且 MA8斜率=-0.0071<0
116,588200,科创芯片ETF,2025-04-18,2025-04-28,0.5183,0.5137,-0.88,-114188.0,10,熊,all,0.523,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0005<0 (动能走弱)"
117,159937,博时黄金ETF,2025-04-28,2025-05-06,7.4601,7.5928,1.78,228482.0,8,熊,all,7.597,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0011<0 (动能走弱)"
118,159992,创新药ETF,2025-05-06,2025-06-19,0.7394,0.7746,4.76,621688.0,44,熊,all,0.837,Trail止损6%,价格0.775≤peak×(1-6%)=0.787
119,515880,通信ETF,2025-06-20,2025-09-02,0.2241,0.4248,89.52,12258397.0,74,牛,all,0.451,Trail止损3%,价格0.425≤peak×(1-3%)=0.437
120,515880,通信ETF,2025-09-02,2025-09-04,0.4252,0.3928,-7.63,-1980365.0,2,牛,all,0.433,Trail止损3%,价格0.393≤peak×(1-3%)=0.420
121,515880,通信ETF,2025-09-04,2025-09-08,0.3932,0.3988,1.42,339213.0,4,牛,all,0.42,Trail止损3%,价格0.399≤peak×(1-3%)=0.407
122,515880,通信ETF,2025-09-08,2025-09-11,0.3992,0.4498,12.66,3077173.0,3,牛,all,0.45,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0049<0 (动能走弱)"
123,159992,创新药ETF,2025-09-11,2025-09-15,0.9785,0.9835,0.5,137726.0,4,牛,all,0.984,★MA8动能转负,"MA6仍>MA15, 但MA8斜率=-0.0005<0 (动能走弱)"
124,159301,自由现金流ETF,2025-09-15,2025-09-22,0.9595,0.9295,-3.13,-861700.0,7,牛,all,0.959,Trail止损3%,价格0.930≤peak×(1-3%)=0.930
125,588890,科创AIETF,2025-09-22,2025-10-10,2.6605,2.7755,4.32,1152642.0,18,牛,all,2.972,Trail止损3%,价格2.777≤peak×(1-3%)=2.883
126,588170,科创半导体ETF,2025-10-10,2025-10-14,0.5013,0.4847,-3.3,-917940.0,4,牛,all,0.52,Trail止损3%,价格0.485≤peak×(1-3%)=0.504
127,588170,科创半导体ETF,2025-10-14,2025-10-17,0.4853,0.4547,-6.29,-1691541.0,3,牛,all,0.485,Trail止损3%,价格0.455≤peak×(1-3%)=0.470
128,513100,纳指ETF,2025-10-17,2025-11-04,1.808,1.9389,7.24,1825516.0,18,牛,all,2.0,Trail止损3%,价格1.940≤peak×(1-3%)=1.940
